epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
48,4504.24,0.2657,0.27651,0.28658,0.80822,0,0.97049,0.93458,0.97869,0.95888,0.97049,0.93458,0.97869,0.94649,0.22735,0.25377,0.28185,0.77958,0,0.00022297,0.00022297,0.00022297
49,4596.12,0.26213,0.27571,0.28954,0.80569,0,0.9708,0.95338,0.98494,0.96625,0.9708,0.95338,0.98494,0.95603,0.2217,0.25007,0.26798,0.77785,0,0.000218842,0.000218842,0.000218842
50,4689.68,0.25821,0.27522,0.28897,0.80495,0,0.97048,0.94592,0.98296,0.96529,0.97048,0.94592,0.98296,0.95412,0.21866,0.25864,0.27221,0.77848,0,0.000214713,0.000214713,0.000214713
51,4782.22,0.25629,0.26498,0.28518,0.80483,0,0.95917,0.93855,0.97989,0.96209,0.95917,0.93855,0.97989,0.94968,0.2208,0.25411,0.28104,0.77866,0,0.000210585,0.000210585,0.000210585
52,4879.23,0.26123,0.27621,0.28905,0.80942,0,0.95462,0.94737,0.97454,0.9569,0.95462,0.94737,0.97454,0.94727,0.22257,0.25107,0.28997,0.77942,0,0.000206457,0.000206457,0.000206457
53,4971.2,0.25681,0.26192,0.28299,0.80512,0,0.95675,0.93915,0.98121,0.96428,0.95675,0.93915,0.98121,0.95192,0.22102,0.25036,0.28206,0.77788,0,0.000202328,0.000202328,0.000202328
54,5065.56,0.25624,0.27036,0.28856,0.80377,0,0.9404,0.93162,0.97043,0.95299,0.9404,0.93162,0.97043,0.94056,0.21579,0.25311,0.30224,0.77877,0,0.0001982,0.0001982,0.0001982
55,5160.49,0.25608,0.27012,0.27946,0.8063,0,0.95807,0.9401,0.97851,0.9609,0.95807,0.9401,0.97851,0.94788,0.21673,0.25211,0.27998,0.77907,0,0.000194072,0.000194072,0.000194072
56,5251.68,0.25255,0.25643,0.27062,0.80223,0,0.95831,0.95374,0.98522,0.96692,0.95831,0.95374,0.98522,0.95395,0.22129,0.25458,0.25245,0.77858,0,0.000189943,0.000189943,0.000189943
57,5347.55,0.25557,0.26721,0.27627,0.80625,0,0.95988,0.93001,0.97303,0.95626,0.95988,0.93001,0.97303,0.94074,0.21455,0.24882,0.28126,0.7783,0,0.000185815,0.000185815,0.000185815
58,5444.62,0.25128,0.26111,0.27172,0.80463,0,0.96213,0.92224,0.97402,0.95763,0.96213,0.92224,0.97498,0.94381,0.21598,0.25399,0.28265,0.77782,0,0.000181687,0.000181687,0.000181687
59,5540.87,0.25606,0.25943,0.27232,0.80599,0,0.96118,0.93805,0.97775,0.9591,0.96118,0.93805,0.97775,0.94539,0.22286,0.25459,0.27825,0.77862,0,0.000177559,0.000177559,0.000177559
60,5635.87,0.2524,0.25352,0.26525,0.80186,0,0.9651,0.95257,0.9741,0.95837,0.9651,0.95257,0.9741,0.94291,0.21532,0.24981,0.26663,0.77797,0,0.00017343,0.00017343,0.00017343
61,5730.61,0.24706,0.26576,0.26329,0.80231,0,0.97223,0.93827,0.98151,0.96336,0.97223,0.93827,0.98151,0.95046,0.21333,0.25493,0.2533,0.77802,0,0.000169302,0.000169302,0.000169302
62,5825.87,0.24807,0.26352,0.26099,0.80208,0,0.97127,0.94722,0.97999,0.96419,0.97127,0.94722,0.97999,0.95184,0.21253,0.24981,0.24898,0.77764,0,0.000165174,0.000165174,0.000165174
63,5919.47,0.25043,0.25554,0.25878,0.80264,0,0.95758,0.95777,0.98358,0.96889,0.95758,0.95777,0.98358,0.95088,0.21124,0.25568,0.24819,0.77713,0,0.000161045,0.000161045,0.000161045
64,6016.5,0.24631,0.25501,0.25948,0.80699,0,0.96298,0.9561,0.98584,0.97051,0.96345,0.95659,0.98586,0.95531,0.20982,0.24904,0.2369,0.77588,0,0.000156917,0.000156917,0.000156917
65,6110.74,0.24233,0.25743,0.25417,0.80287,0,0.9673,0.94338,0.97856,0.96427,0.9673,0.94338,0.97856,0.94741,0.21198,0.24901,0.25398,0.77644,0,0.000152789,0.000152789,0.000152789
66,6212.11,0.24192,0.25061,0.25273,0.80066,0,0.97299,0.94642,0.98554,0.97061,0.97347,0.94691,0.98559,0.95656,0.20981,0.24972,0.24013,0.77649,0,0.00014866,0.00014866,0.00014866
67,6311.31,0.24536,0.25885,0.25279,0.80106,0,0.95725,0.94635,0.98249,0.96633,0.95725,0.94635,0.98249,0.95055,0.21139,0.25204,0.25671,0.7765,0,0.000144532,0.000144532,0.000144532
68,6410.45,0.2403,0.24783,0.25003,0.80054,0,0.97165,0.94151,0.98354,0.96963,0.97165,0.94151,0.98354,0.95348,0.20751,0.252,0.24719,0.77567,0,0.000140404,0.000140404,0.000140404
69,6504.45,0.23922,0.25812,0.25125,0.80191,0,0.96765,0.94304,0.98428,0.96861,0.96765,0.94304,0.98428,0.95419,0.21315,0.25207,0.24775,0.77645,0,0.000136276,0.000136276,0.000136276
70,6597.79,0.24109,0.24957,0.24736,0.80014,0,0.97142,0.94149,0.98508,0.97068,0.97142,0.94149,0.98508,0.95549,0.21085,0.25449,0.24565,0.77587,0,0.000132147,0.000132147,0.000132147
71,6691.65,0.23955,0.25909,0.24542,0.80197,0,0.96849,0.95826,0.98239,0.96819,0.96849,0.95826,0.98239,0.9543,0.20856,0.24821,0.2334,0.77595,0,0.000128019,0.000128019,0.000128019
72,6787.26,0.23823,0.24989,0.24529,0.80323,0,0.97038,0.93911,0.98435,0.96913,0.97038,0.93911,0.98435,0.95443,0.20828,0.24908,0.24605,0.77601,0,0.000123891,0.000123891,0.000123891
73,6886.44,0.23411,0.24533,0.23916,0.79934,0,0.97052,0.94428,0.98463,0.96958,0.97052,0.94428,0.98463,0.95639,0.2084,0.2504,0.23972,0.77576,0,0.000119762,0.000119762,0.000119762
74,6980.8,0.23746,0.25577,0.24343,0.79953,0,0.96006,0.93804,0.98239,0.96761,0.96006,0.93804,0.98239,0.95299,0.20755,0.24713,0.24817,0.77588,0,0.000115634,0.000115634,0.000115634
75,7071.69,0.23547,0.2574,0.23488,0.79969,0,0.95874,0.95332,0.9825,0.96639,0.95874,0.95332,0.9825,0.95352,0.20563,0.24603,0.23626,0.77608,0,0.000111506,0.000111506,0.000111506
76,7163.07,0.2404,0.2525,0.2419,0.80189,0,0.95863,0.94539,0.98441,0.96975,0.95863,0.94539,0.98441,0.95689,0.20763,0.25146,0.24306,0.77607,0,0.000107378,0.000107378,0.000107378
77,7259.53,0.23369,0.24916,0.23738,0.79836,0,0.96154,0.9538,0.98491,0.96799,0.96154,0.9538,0.98491,0.95457,0.20799,0.25195,0.23095,0.77645,0,0.000103249,0.000103249,0.000103249
78,7352.97,0.23205,0.24353,0.23426,0.79555,0,0.97117,0.94573,0.98297,0.96755,0.97117,0.94573,0.98297,0.95321,0.20549,0.24838,0.23506,0.77613,0,9.91209e-05,9.91209e-05,9.91209e-05
79,7445.51,0.24088,0.25544,0.23661,0.8062,0,0.96779,0.95539,0.98244,0.96667,0.96779,0.95539,0.98244,0.95363,0.20433,0.24812,0.22676,0.77549,0,9.49926e-05,9.49926e-05,9.49926e-05
80,7541.24,0.22903,0.24763,0.23286,0.79833,0,0.97401,0.95056,0.98594,0.97162,0.96773,0.95628,0.98594,0.95856,0.20413,0.24914,0.21839,0.7755,0,9.08643e-05,9.08643e-05,9.08643e-05
81,7636.98,0.23042,0.24269,0.22795,0.79771,0,0.96683,0.93623,0.98192,0.96757,0.96683,0.93623,0.98192,0.95351,0.20684,0.25229,0.23277,0.77589,0,8.6736e-05,8.6736e-05,8.6736e-05
