epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
44,6007.02,0.36076,0.27491,0.33202,0.00204,0.04251,0.94363,0.88759,0.95731,0.93935,0.94363,0.88759,0.95731,0.92713,0.24428,0.25302,0.31941,0.0019,0,0.000239483,0.000239483,0.000239483
45,6145.12,0.35023,0.26632,0.33135,0.002,0.04944,0.90606,0.90653,0.95144,0.93536,0.90606,0.90653,0.95144,0.92392,0.22885,0.25028,0.33328,0.00178,0,0.000235355,0.000235355,0.000235355
46,6280.95,0.34286,0.27869,0.3284,0.00188,0.05058,0.92613,0.89341,0.95438,0.93942,0.92613,0.89341,0.95438,0.92583,0.22993,0.24989,0.30571,0.00178,0,0.000231226,0.000231226,0.000231226
47,6416.89,0.34242,0.26864,0.32153,0.00189,0.048,0.90541,0.89687,0.95023,0.93231,0.90541,0.89687,0.95023,0.92008,0.24275,0.25274,0.33069,0.00197,0,0.000227098,0.000227098,0.000227098
48,6551.21,0.34592,0.27241,0.31979,0.00195,0.04641,0.92759,0.89612,0.95612,0.94011,0.92759,0.89612,0.95612,0.92705,0.23049,0.25131,0.29855,0.0018,0,0.00022297,0.00022297,0.00022297
49,6687.46,0.34015,0.26962,0.31506,0.00185,0.04589,0.9272,0.91252,0.96001,0.94298,0.9272,0.91252,0.96001,0.93583,0.23298,0.24986,0.28466,0.00182,0,0.000218842,0.000218842,0.000218842
50,6823.25,0.33075,0.28007,0.30599,0.00188,0.04435,0.9286,0.91854,0.96475,0.94695,0.9286,0.91854,0.96475,0.93552,0.2313,0.24888,0.27628,0.00178,0,0.000214713,0.000214713,0.000214713
51,6960.06,0.32653,0.26053,0.3044,0.00184,0.04501,0.91372,0.9163,0.9568,0.9415,0.91372,0.9163,0.9568,0.92958,0.23089,0.24935,0.28748,0.0018,0,0.000210585,0.000210585,0.000210585
52,7095.75,0.33431,0.26521,0.31601,0.00193,0.04735,0.93282,0.91182,0.96256,0.94607,0.93282,0.91182,0.96256,0.93223,0.24337,0.24896,0.27735,0.0019,0,0.000206457,0.000206457,0.000206457
53,7231.38,0.33489,0.26416,0.30006,0.0019,0.0404,0.9193,0.91837,0.96117,0.94704,0.9193,0.91837,0.96117,0.93554,0.22256,0.24926,0.27118,0.00171,0,0.000202328,0.000202328,0.000202328
54,7367.35,0.32588,0.26772,0.30149,0.00183,0.04607,0.92318,0.90315,0.95375,0.93543,0.92318,0.90315,0.95375,0.92737,0.23758,0.24617,0.28182,0.00185,0,0.0001982,0.0001982,0.0001982
55,7502.33,0.33319,0.27249,0.28598,0.00185,0.04115,0.93402,0.89698,0.96074,0.94633,0.93402,0.89698,0.96074,0.92977,0.23557,0.24502,0.2724,0.00184,0,0.000194072,0.000194072,0.000194072
56,7638.35,0.32732,0.25881,0.28396,0.00176,0.04104,0.91165,0.91626,0.94953,0.93485,0.91165,0.91626,0.94953,0.92308,0.22445,0.25039,0.29844,0.0017,0,0.000189943,0.000189943,0.000189943
57,7775.44,0.33178,0.26558,0.29143,0.00187,0.04293,0.9379,0.91972,0.96712,0.95318,0.9379,0.91972,0.96712,0.9388,0.22088,0.24711,0.24856,0.0017,0,0.000185815,0.000185815,0.000185815
58,7914.17,0.32224,0.26058,0.29041,0.00177,0.03954,0.91115,0.91375,0.95408,0.94116,0.91115,0.91375,0.95408,0.9267,0.2263,0.2468,0.27556,0.00177,0,0.000181687,0.000181687,0.000181687
59,8053.34,0.33162,0.26429,0.27975,0.00182,0.0383,0.91801,0.91332,0.96239,0.94801,0.91801,0.91332,0.96239,0.93247,0.23026,0.24791,0.26105,0.00171,0,0.000177559,0.000177559,0.000177559
60,8188.38,0.31944,0.24682,0.26899,0.00177,0.03673,0.92024,0.91382,0.95655,0.93998,0.92024,0.91382,0.95655,0.93139,0.24427,0.24989,0.2709,0.00191,0,0.00017343,0.00017343,0.00017343
61,8324.66,0.31045,0.2614,0.2745,0.00172,0.03773,0.93085,0.90745,0.96036,0.94524,0.93085,0.90745,0.96036,0.93094,0.21584,0.24862,0.25622,0.00169,0,0.000169302,0.000169302,0.000169302
62,8461,0.31646,0.25709,0.27038,0.00173,0.03732,0.91094,0.91309,0.95134,0.93802,0.91094,0.91309,0.95134,0.92566,0.22095,0.24894,0.28166,0.00168,0,0.000165174,0.000165174,0.000165174
63,8599.26,0.31605,0.25225,0.26472,0.00174,0.03678,0.91692,0.90996,0.9582,0.94347,0.91692,0.90996,0.9582,0.92891,0.22117,0.24845,0.26412,0.00169,0,0.000161045,0.000161045,0.000161045
64,8736.69,0.31676,0.25083,0.28543,0.0017,0.03991,0.92217,0.90402,0.95268,0.93633,0.92217,0.90402,0.95268,0.92067,0.21728,0.2497,0.27954,0.00166,0,0.000156917,0.000156917,0.000156917
65,8871.89,0.313,0.25767,0.26353,0.00172,0.0359,0.93089,0.90346,0.95587,0.94077,0.93089,0.90346,0.95587,0.92629,0.21742,0.24795,0.25833,0.00166,0,0.000152789,0.000152789,0.000152789
66,9008.95,0.31257,0.25211,0.26448,0.00166,0.03651,0.9352,0.91591,0.96134,0.94859,0.9352,0.91591,0.96134,0.93127,0.21867,0.25036,0.2543,0.00169,0,0.00014866,0.00014866,0.00014866
67,9148.1,0.3098,0.2573,0.25732,0.0017,0.03424,0.91688,0.92101,0.95995,0.94583,0.91688,0.92101,0.95995,0.93171,0.22094,0.24862,0.25943,0.00171,0,0.000144532,0.000144532,0.000144532
68,9294.61,0.31036,0.24793,0.26028,0.00168,0.03632,0.94149,0.91172,0.96438,0.94954,0.94149,0.91172,0.96438,0.9357,0.21744,0.25146,0.24249,0.00162,0,0.000140404,0.000140404,0.000140404
69,9429.47,0.3113,0.26297,0.25961,0.00165,0.03543,0.93115,0.91944,0.95992,0.94719,0.93115,0.91944,0.95992,0.93143,0.21327,0.24051,0.25353,0.00165,0,0.000136276,0.000136276,0.000136276
70,9564.3,0.30474,0.24597,0.2642,0.00169,0.0361,0.94085,0.9079,0.96017,0.94736,0.94085,0.9079,0.96017,0.93048,0.20939,0.24651,0.25298,0.00159,0,0.000132147,0.000132147,0.000132147
71,9704.17,0.30257,0.25982,0.24419,0.00163,0.0305,0.94654,0.89881,0.95624,0.94362,0.94654,0.89881,0.95624,0.92835,0.20885,0.25013,0.26359,0.00157,0,0.000128019,0.000128019,0.000128019
72,9841.82,0.3054,0.25043,0.25805,0.00163,0.03638,0.92586,0.92592,0.96261,0.9501,0.92586,0.92592,0.96261,0.93238,0.21663,0.2467,0.24814,0.00162,0,0.000123891,0.000123891,0.000123891
73,9975.91,0.30137,0.24966,0.24562,0.00164,0.03243,0.94688,0.90938,0.96079,0.94886,0.94688,0.90938,0.96079,0.93029,0.21782,0.2477,0.24606,0.00164,0,0.000119762,0.000119762,0.000119762
74,10116.8,0.30827,0.25668,0.25923,0.00165,0.03478,0.94155,0.90373,0.95592,0.94259,0.94155,0.90373,0.95592,0.92872,0.21889,0.24647,0.2593,0.00165,0,0.000115634,0.000115634,0.000115634
75,10253.9,0.30248,0.26329,0.24583,0.00165,0.03171,0.93625,0.91822,0.9588,0.94587,0.93625,0.91822,0.9588,0.92888,0.21153,0.24523,0.24789,0.00157,0,0.000111506,0.000111506,0.000111506
76,10389.5,0.30509,0.25138,0.24976,0.00158,0.03305,0.93111,0.91165,0.95568,0.94252,0.93111,0.91165,0.95568,0.92575,0.21369,0.24781,0.26093,0.00164,0,0.000107378,0.000107378,0.000107378
77,10527.4,0.29968,0.24928,0.24585,0.00159,0.0331,0.93019,0.90472,0.95308,0.94101,0.93019,0.90472,0.95308,0.92712,0.20924,0.24598,0.26713,0.00158,0,0.000103249,0.000103249,0.000103249
78,10661,0.2922,0.24378,0.24226,0.00158,0.03172,0.94353,0.9003,0.9527,0.93986,0.94353,0.9003,0.9527,0.92064,0.21592,0.24934,0.26395,0.00158,0,9.91209e-05,9.91209e-05,9.91209e-05
79,10796.9,0.30487,0.25881,0.24424,0.00164,0.03183,0.93673,0.905,0.95167,0.93982,0.93673,0.905,0.95167,0.92348,0.20569,0.24581,0.26628,0.00155,0,9.49926e-05,9.49926e-05,9.49926e-05
80,10935.5,0.28785,0.25005,0.23536,0.00155,0.03058,0.93271,0.9169,0.95753,0.94366,0.93271,0.9169,0.95753,0.92911,0.20894,0.24627,0.24424,0.00157,0,9.08643e-05,9.08643e-05,9.08643e-05
81,11071.6,0.29793,0.23892,0.22909,0.00154,0.03265,0.93816,0.91438,0.95892,0.94528,0.93816,0.91438,0.95892,0.9302,0.20747,0.24896,0.24191,0.00156,0,8.6736e-05,8.6736e-05,8.6736e-05
82,11208.3,0.28889,0.26007,0.23348,0.00158,0.02711,0.92569,0.93007,0.96267,0.95019,0.92569,0.93007,0.96267,0.9315,0.20863,0.24527,0.23772,0.00155,0,8.26077e-05,8.26077e-05,8.26077e-05
83,11341.9,0.28709,0.2514,0.23276,0.00151,0.03139,0.9369,0.92061,0.9643,0.95026,0.9369,0.92061,0.9643,0.93452,0.20967,0.24568,0.23389,0.00159,0,7.84794e-05,7.84794e-05,7.84794e-05
84,11480.6,0.28519,0.24188,0.23532,0.0015,0.02978,0.9242,0.92709,0.96427,0.95082,0.9242,0.92709,0.96427,0.93495,0.20933,0.24448,0.23163,0.00161,0,7.43511e-05,7.43511e-05,7.43511e-05
85,11623.3,0.28727,0.23726,0.23647,0.00157,0.02868,0.93794,0.92137,0.96757,0.95398,0.93794,0.92137,0.96757,0.93952,0.20799,0.2473,0.22678,0.00155,0,7.02228e-05,7.02228e-05,7.02228e-05
86,11761.4,0.27732,0.24617,0.22747,0.00152,0.0298,0.94801,0.91359,0.96704,0.95253,0.94801,0.91359,0.96704,0.93686,0.2117,0.24554,0.23157,0.00159,0,6.60945e-05,6.60945e-05,6.60945e-05
87,11897.5,0.27656,0.24497,0.2163,0.00146,0.0266,0.93531,0.93455,0.96739,0.95378,0.93531,0.93455,0.96739,0.93916,0.20565,0.24544,0.22743,0.00155,0,6.19662e-05,6.19662e-05,6.19662e-05
88,12034.8,0.28485,0.24845,0.22753,0.00152,0.03052,0.93388,0.91454,0.96279,0.94893,0.93388,0.91454,0.96279,0.93418,0.20494,0.24939,0.23472,0.00154,0,5.78379e-05,5.78379e-05,5.78379e-05
89,12174,0.28488,0.25683,0.23143,0.00152,0.03082,0.93813,0.91997,0.96355,0.95072,0.93813,0.91997,0.96355,0.93461,0.20399,0.24495,0.23353,0.00153,0,5.37096e-05,5.37096e-05,5.37096e-05
90,12311.4,0.27987,0.24645,0.22722,0.00149,0.02948,0.95566,0.91884,0.96814,0.95506,0.95566,0.91884,0.96814,0.93879,0.20296,0.24503,0.22374,0.00151,0,4.95813e-05,4.95813e-05,4.95813e-05
91,12444.7,0.23212,0.2417,0.17748,0.00154,0.01264,0.93428,0.90759,0.95323,0.9381,0.93428,0.90759,0.95323,0.92594,0.2147,0.25362,0.26384,0.00159,0,4.5453e-05,4.5453e-05,4.5453e-05
92,12578,0.22317,0.23279,0.16275,0.00149,0.01262,0.94418,0.90863,0.95278,0.93931,0.94418,0.90863,0.95278,0.92406,0.20727,0.25083,0.2606,0.00155,0,4.13247e-05,4.13247e-05,4.13247e-05
93,12711.7,0.21857,0.22886,0.17024,0.00145,0.01115,0.94049,0.90792,0.95259,0.93927,0.94049,0.90792,0.95259,0.92143,0.20821,0.24901,0.26122,0.00154,0,3.71964e-05,3.71964e-05,3.71964e-05
94,12844.1,0.22222,0.23036,0.16893,0.00151,0.01191,0.93002,0.91897,0.95326,0.93896,0.93137,0.92009,0.95494,0.92432,0.21109,0.25121,0.25902,0.00158,0,3.30681e-05,3.30681e-05,3.30681e-05
95,12974.1,0.21448,0.23165,0.15955,0.00143,0.01091,0.94415,0.90188,0.9541,0.93973,0.94415,0.90188,0.9541,0.92539,0.21156,0.25081,0.26171,0.0016,0,2.89398e-05,2.89398e-05,2.89398e-05
96,13107.5,0.21929,0.23821,0.17202,0.00146,0.01147,0.93576,0.92106,0.95493,0.94128,0.93576,0.92106,0.95493,0.92521,0.20884,0.25058,0.25332,0.00157,0,2.48115e-05,2.48115e-05,2.48115e-05
97,13242.8,0.21407,0.22508,0.16094,0.00145,0.01134,0.9292,0.92345,0.95582,0.94237,0.9292,0.92345,0.95582,0.92584,0.2058,0.25088,0.24972,0.00152,0,2.06832e-05,2.06832e-05,2.06832e-05
98,13374.8,0.21549,0.2216,0.1666,0.00143,0.0113,0.94482,0.90656,0.95682,0.94212,0.94482,0.90656,0.95682,0.92634,0.20582,0.25021,0.25004,0.00153,0,1.65549e-05,1.65549e-05,1.65549e-05
99,13505.6,0.21205,0.23532,0.16203,0.00143,0.01096,0.93373,0.91662,0.95619,0.9428,0.93509,0.91801,0.95792,0.92695,0.20651,0.24904,0.24689,0.00154,0,1.24266e-05,1.24266e-05,1.24266e-05
100,13636.9,0.21514,0.23364,0.15175,0.00141,0.0125,0.93364,0.91922,0.95635,0.94314,0.93498,0.92061,0.95814,0.92658,0.2041,0.24891,0.24777,0.00152,0,8.2983e-06,8.2983e-06,8.2983e-06
